ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0015908	fatty acid transport	56/4760	108/15504	0.518518518518518	1.68888888888889	4.78173447646109	3.51664563138151e-06	0.000165282344674931	0.000141429674765836	SLC22A2/LHCGR/SLC5A8/SLC22A8/SLC27A2/DRD3/TNFSF11/TNFRSF11A/IL1A/PLA2G2F/SLCO1B1/PLA2G2C/CYP4F2/SLC22A9/MFSD2A/SLC22A11/SLC22A6/AVPR1B/SLC27A6/DRD2/PLA2G5/BDKRB2/P2RX7/FABP12/FABP6/SLC2A1/NOS2/SLC22A7/PLA2G3/SLCO2A1/P2RX4/ABCD2/PMP2/SLCO2B1/LEP/RBP5/FABP2/SYK/NTSR1/PLA2G2D/SLC22A1/IL1B/PTGES/NMUR2/ERFE/PTGS2/SLC27A5/CYP4A11/FABP1/CPT2/LYN/SLC27A4/PLA2G2A/SLC27A3/CRABP2/RBP7	56
GO:0007602	phototransduction	27/4760	41/15504	0.658536585365854	2.14494773519164	4.88606300496977	3.65321328708773e-06	0.000167707977411888	0.000143505253072544	ABCA4/RP1/CNGB1/ASIC2/SLC24A4/SAG/OPN5/RGR/RCVRN/GUCY2F/CDS1/RHO/GPR88/GNGT1/TRPC3/GNGT2/GRK7/PDE6B/AIPL1/CABP4/PITPNM1/GNAT3/UNC119/OPN3/NR2E3/OPN4/PLEKHB1	27
GO:0098703	calcium ion import across plasma membrane	27/4760	41/15504	0.658536585365854	2.14494773519164	4.88606300496977	3.65321328708773e-06	0.000167707977411888	0.000143505253072544	CACNA1A/CACNA1E/TRPM1/CACNA1D/SLC24A4/CACNA1B/TRPV6/CACNA1G/SLC24A2/CACNA1F/TRPV4/NALF1/TRPV5/CACNA1I/GRM6/TRPM2/SLC8A2/PPP3R2/MS4A1/KCNN4/SLC8A1/NALF2/P2RX1/SLC24A1/TRPV3/CACNA1C/FYN	27
GO:0048515	spermatid differentiation	96/4760	211/15504	0.454976303317536	1.48192281651997	4.69138118530317	3.85360561011793e-06	0.00017554655710091	0.000150212610583868	CFAP221/PIWIL1/ADAD1/BRDT/CFTR/CFAP52/DRC7/ADGB/AXDND1/DDX25/CFAP47/GALNTL5/TDRD5/CFAP54/CFAP65/ARMC3/CFAP43/CFAP57/ADCY10/FAM9A/ZPBP/ROPN1/BSPH1/CATSPERD/SUN5/FAM9C/KNL1/TNP2/SPO11/SYCP1/ELSPBP1/SEMG1/PDILT/GLI1/TTC21A/SPATA16/FAM9B/AKAP4/SPAG6/RSPH1/ZPBP2/DMRTC2/CCR6/OCA2/CYLC1/SOX30/CCDC38/ADAM7/CHD5/IZUMO3/SEPTIN14/SEMG2/GK2/TCP11/DRC1/CFAP97D1/PMFBP1/RBM46/SPINK1/TCP11X2/ZMYND15/SPEM3/TRIP13/SPACA1/RSPH6A/GARIN1B/TBC1D21/IQCF1/PLA2G3/DMC1/CFAP206/PDCL2/RNF17/ACRBP/KLC3/CATSPER4/FANCG/IFT56/SLC22A14/RFX2/REC8/BAX/ROPN1L/SPANXB1/TMEM119/ARMC12/CCDC63/ZMYND12/CFAP157/ARMC2/DNALI1/SEPTIN4/PACRG/KIT/H1-7/TSSK4	96
GO:0007159	leukocyte cell-cell adhesion	160/4760	386/15504	0.414507772020725	1.35011102886751	4.63639707953262	3.90661535547571e-06	0.000176525841332534	0.000151050569717702	CR1/SPTA1/IL12RB1/CRTAM/IL36B/SIRPG/PCK1/ACTL6B/ADTRP/TNFSF11/ZP4/NCKAP1L/UMOD/CDKN2A/IL1A/PLA2G2F/IL23R/TNFSF14/FUT9/ILDR2/IL12B/IL1RL2/RAG1/OLR1/IL12A/CLEC4M/CHST4/IFNL1/LGALS9C/TNFSF18/BMP7/SKAP1/LILRB1/FGL1/CTLA4/LILRB4/FCHO1/PLA2G5/IL2RA/DAPL1/EGR3/SLAMF1/VAV1/HHLA2/NOD2/WNT10B/SHH/CD80/CD6/CCDC88B/CD28/CARD11/CALCA/RHOH/JAK3/CCL28/LAG3/LILRB2/ICOS/SIRPB1/HLA-DQB2/CD86/CD1D/IL2/NLRP3/CCR2/SPN/PRKCZ/PIK3R6/VTCN1/TNF/ADD2/IL4R/HLA-G/TESPA1/CD4/SLC39A8/CD300A/HLA-DQA1/VNN1/EFNB3/PTPN22/LEP/TSPAN32/ST3GAL4/NFKBID/VCAM1/TNFSF9/ADORA2A/CD209/SYK/DOCK8/IL23A/SASH3/FOXP3/PLA2G2D/LAX1/HAVCR2/LEF1/IL1B/ITGAL/STK10/HLA-DOA/ALOX5/BTN2A2/CD3E/RASAL3/SELL/ADAM8/CD177/ITGB7/PTPN6/TBX21/ZC3H12A/HLA-DOB/RUNX3/TNFSF4/SLC7A1/HLA-DMB/ITGB2/SELPLG/PNP/LYN/SOX12/GFUS/CTSG/CD83/MAP3K8/LOXL3/F11R/IL2RG/GLI3/CD24/CORO1A/ZAP70/CCR7/PLA2G2A/BMP4/NR4A3/SELP/AGER/FYN/CHST2/CD160/SOX4/HLA-DPB1/SFTPD/HLA-DPA1/GATA3/CD40LG/RAG2/HLA-DQB1/FERMT3/TNFRSF13C/HLA-DQA1/CD27/CCL21/VSIG4/HLX/IL6	160
GO:0002366	leukocyte activation involved in immune response	126/4760	292/15504	0.431506849315068	1.40547945205479	4.65581235374403	3.96395942912187e-06	0.000176525841332534	0.000151050569717702	POU2AF1/CR1/EXO1/CLNK/IL12RB1/PCK1/CRACR2A/LILRA2/LY9/SCN11A/NCKAP1L/SLAMF6/FCGR2B/IL23R/ZNF683/IFNA16/AICDA/IL12B/STXBP2/PGLYRP3/SCNN1B/CCR6/SUCNR1/IFNL1/GATA1/KLRF2/TNFSF18/IL13/PGLYRP2/LILRB1/DOCK2/EOMES/PLCG2/IFNE/CD1C/IL13RA2/PIK3CG/CD244/RAB44/SLAMF1/GAPT/F2RL1/IFNA6/MYB/FCGR3A/BTK/ADGRE2/CLEC4E/CD80/CLEC4D/CD19/IL18R1/IRF4/CD28/APBB1IP/JAK3/PLA2G3/IFNA8/SLC11A1/ICOS/CD86/IL2/NLRP3/CD180/CCR2/SPN/PRKCZ/IFNA4/TNF/CPLX2/IL4R/IRF8/MRGPRX2/DNASE1L3/CD300A/SEMA4A/NFKBID/SYK/IL23A/PRAM1/ITGAM/FOXP3/HAVCR2/IFI35/KMT5C/LEF1/ITGAL/TREM2/TMEM98/UNC13D/CD177/PTPN6/TBX21/ZC3H12A/SOCS3/C17orf99/TNFSF4/FGR/HLA-DMB/ITGB2/LYN/MILR1/HLA-F/LAT2/PTK2B/LOXL3/RAB27A/CORO1A/CD40/LFNG/FCER1A/NR4A3/PIK3CD/IL27RA/NKG7/LBP/KIT/CD160/TYROBP/DLL1/GATA3/CD40LG/RAG2/HLX/CEACAM1/IL6	126
GO:0002923	regulation of humoral immune response mediated by circulating immunoglobulin	14/4760	16/15504	0.875	2.85	4.92790582689426	3.99433683528531e-06	0.000176525841332534	0.000151050569717702	CR1/CR1L/CR2/FCGR2B/LTA/FCER2/C4BPB/NOD2/HPX/TNF/TREM2/PTPN6/SUSD4/C4BPA	14
GO:0050670	regulation of lymphocyte proliferation	98/4760	217/15504	0.451612903225806	1.47096774193548	4.65037790083194	4.5623309115626e-06	0.000197357125085382	0.000168875593267038	CR1/SPTA1/IL12RB1/CRTAM/SOX11/TNFRSF9/ZP4/NCKAP1L/CDKN2A/IL1A/PLA2G2F/FCGR2B/IL23R/PRLR/MPL/IL12B/FCRL3/IL12A/TNFSF8/LGALS9C/TNFRSF13B/TNFSF18/IL13/LILRB1/CTLA4/EPHB2/LILRB4/RIPK3/PLA2G5/IL2RA/SLAMF1/FCGR3A/HHLA2/BTK/SHH/CD80/CD6/CCDC88B/CD28/CARD11/LILRB2/CD86/CD1D/IL2/CCR2/SPN/IKZF3/VTCN1/VAV3/HLA-G/CD300A/CHRNB2/PTPN22/CLC/LEP/TSPAN32/BST1/VCAM1/TNFSF9/CD209/SYK/IL23A/SASH3/FOXP3/PLA2G2D/LST1/HAVCR2/IL1B/INPP5D/BTN2A2/CD3E/RASAL3/FGF10/PTPN6/CD22/TNFSF4/SLC7A1/HLA-DMB/MAPK8IP1/PNP/LYN/CD24/CORO1A/ZAP70/TACR1/PLA2G2A/RASSF5/BMP4/CD40/AGER/TYROBP/HLA-DPB1/SFTPD/HLA-DPA1/CD40LG/TNFRSF13C/VSIG4/IL6	98
GO:0001578	microtubule bundle formation	62/4760	124/15504	0.5	1.62857142857143	4.67752008882922	5.17956847194035e-06	0.000216777210569525	0.000185493075184716	HYDIN/DNAH2/DNAH8/ODAD2/RP1/DRC7/DNAH5/DNAH7/CFAP47/CFAP65/CFAP43/CFAP57/ODAD1/CLXN/TRIM46/TTLL6/DNAAF6/DCX/DNAI2/SPAG6/DNAI1/RSPH1/HOATZ/DAW1/RP1L1/CFAP74/DRC1/CFAP97D1/LRGUK/ODAD3/DNAI3/MTCL1/DNAAF1/RSPH6A/JHY/TBC1D21/DNAH17/PLA2G3/PSRC1/CFAP206/PDCL2/DNAJB13/NCKAP5/IFT56/DNAAF8/CCDC40/TTLL8/ZMYND10/KIF20A/CCDC65/DNAL1/CCDC63/ZMYND12/CCDC88C/CFAP157/ARMC2/PLK1/STK36/LRRC23/ODAD4/DNAAF4/LRRC61	62
GO:0010876	lipid localization	174/4760	427/15504	0.407494145199063	1.32726664436266	4.56443013090046	5.19796756178193e-06	0.000216777210569525	0.000185493075184716	ATP10B/LPA/ABCA13/LIPG/SLC22A2/CFTR/CYP19A1/ABCA4/ABCB11/ANO3/LRAT/LHCGR/SLC5A8/ANO4/ABCA12/SLC22A8/SLC27A2/SLCO1B3/ATP8A2/DRD3/SLCO1A2/ABCB1/GALR1/XKR4/ABCC11/TNFSF11/TNFRSF11A/VSTM2A/LIPC/ABCG8/IL1A/PLA2G2F/PLSCR2/SLC22A24/SLCO1B3-SLCO1B7/SLCO1B1/PLSCR5/CLSTN3/SLC4A1/STARD6/CRP/AKR1C4/PLA2G2C/DISP3/CYP4F2/APOH/SLC22A9/MFSD2A/SLC22A11/CFHR4/ATP8B4/SOAT2/PITPNM3/ABCG4/SLC22A6/PRELID3A/SPP1/AVPR1B/XKR7/SLC10A2/SLC27A6/STRA6/TNFAIP8L3/MSR1/CYP7A1/ABCG2/FASLG/DRD2/PLA2G5/SFTPA1/STOML1/MYB/CES1/BDKRB2/P2RX7/SHH/SLC13A3/PCSK9/APOL4/FABP12/FABP6/SLC2A1/NOS2/TRPC5/ATG9B/SLCO1C1/SLC22A7/APOF/XKR9/PLA2G3/ABCC3/ATP8B3/SLCO2A1/P2RX4/REN/SPNS3/ATP10A/ANO9/TNF/WNK4/SLC10A6/ABCD2/PMP2/IKBKE/OSBPL10/TTPA/SLCO2B1/APOA2/LEP/NPC1L1/KCNN4/RBP5/CETP/KCNK9/FABP2/SYK/APOBR/KCNQ1/NTSR1/PLA2G2D/CLPTM1L/PLPPR4/ABCA7/C2CD2L/SLC22A1/IL1B/INHBA/PON1/ATP8B2/MFSD2B/TREM2/CLN3/APOB/PTGES/NMUR2/ANO7/ERFE/ITGB3/XKR6/PITPNM1/AQP9/PTGS2/SLC27A5/ZC3H12A/CYP4A11/PITPNC1/FABP1/ABCC2/CPT2/ESYT3/LYN/NR1H3/SELENOM/CIDEC/SLC27A4/PRELID2/PRKCD/PLA2G2A/APOC1/LBP/SLC27A3/SLC51B/SLC66A2/APOM/LDLR/SLC10A5/CRABP2/STAR/AKR1C1/CEACAM1/RBP7/IL6/LIPA/STARD5	174
