transcript_id	intModel	gene_id	gene_symbol	bicor	abs_bicor	direction	correlation_method
HERVH_7q21.3b	HERVH-int	ENSG00000256870.2	SLC5A8	0.899735092169341	0.899735092169341	positive	bicor
HERVH_3q24d	HERVH-int	ENSG00000152092.15	ASTN1	0.899734868170184	0.899734868170184	positive	bicor
HERVH_2q36.1a	HERVH-int	ENSG00000118322.12	ATP10B	0.899734602000276	0.899734602000276	positive	bicor
ERV316A3_6q12g	ERV3-16A3_I-int	ENSG00000069206.15	ADAM7	0.899734483041985	0.899734483041985	positive	bicor
HERVH_2q35a	HERVH-int	ENSG00000141837.19	CACNA1A	0.899734116815824	0.899734116815824	positive	bicor
MER4B_5q11.2	MER4B-int	ENSG00000162843.17	WDR64	0.89973401150897	0.89973401150897	positive	bicor
HERVS71_6p22.1	HERVS71-int	ENSG00000116183.10	PAPPA2	0.899733802812411	0.899733802812411	positive	bicor
HERVH_17p11.2	HERVH-int	ENSG00000152822.13	GRM1	0.89973376137355	0.89973376137355	positive	bicor
HUERSP3_4q32.2a	HUERS-P3-int	ENSG00000042781.12	USH2A	0.899732922341967	0.899732922341967	positive	bicor
HERVH_8q24.22b	HERVH-int	ENSG00000007174.17	DNAH9	0.899732129317745	0.899732129317745	positive	bicor
ERVLB4_13q21.2	ERVL-B4-int	ENSG00000147724.11	FAM135B	0.899732057931378	0.899732057931378	positive	bicor
ERVLB4_3p24.1a	ERVL-B4-int	ENSG00000143297.18	FCRL5	0.899732056534198	0.899732056534198	positive	bicor
HERVK11D_11q14.3	HERVK11D-int	ENSG00000136542.8	GALNT5	0.899731018784208	0.899731018784208	positive	bicor
ERVL_3q13.13	ERVL-int	ENSG00000179046.8	TRIML2	0.899730944730702	0.899730944730702	positive	bicor
HERVL_5p13.3a	HERVL-int	ENSG00000117501.14	MROH9	0.89973086515651	0.89973086515651	positive	bicor
ERVLB4_3q11.2b	ERVL-B4-int	ENSG00000141837.19	CACNA1A	0.899730609574728	0.899730609574728	positive	bicor
ERVLE_7q31.32e	ERVL-E-int	ENSG00000146530.11	VWDE	0.89973055761745	0.89973055761745	positive	bicor
HERVFH19_5q23.2	HERVFH19-int	ENSG00000124818.15	OPN5	0.899730522144852	0.899730522144852	positive	bicor
HERVH_12p13.1a	HERVH-int	ENSG00000154864.11	PIEZO2	0.899729416989784	0.899729416989784	positive	bicor
HERVH_5p14.1	HERVH-int	ENSG00000158125.9	XDH	0.899728679049725	0.899728679049725	positive	bicor
ERVLB4_2q14.3f	ERVL-B4-int	ENSG00000141431.10	ASXL3	0.899728468690958	0.899728468690958	positive	bicor
HERVH_6q16.1c	HERVH-int	ENSG00000206557.5	TRIM71	0.899728391794112	0.899728391794112	positive	bicor
HERVL_1q31.1a	HERVL-int	ENSG00000150625.16	GPM6A	0.8997279627665	0.8997279627665	positive	bicor
HERVL_6q26a	HERVL-int	ENSG00000001626.14	CFTR	0.89972729377656	0.89972729377656	positive	bicor
HERVH_6q24.3b	HERVH-int	ENSG00000094755.16	GABRP	0.899726600028964	0.899726600028964	positive	bicor
HERVH_1q42.13c	HERVH-int	ENSG00000007174.17	DNAH9	0.899726573204037	0.899726573204037	positive	bicor
ERVLE_14q21.1h	ERVL-E-int	ENSG00000167825.3	OR5I1	0.89972581892487	0.89972581892487	positive	bicor
ERVLE_10q25.1b	ERVL-E-int	ENSG00000150275.17	PCDH15	0.899725351710524	0.899725351710524	positive	bicor
HERVH_12p12.1b	HERVH-int	ENSG00000152822.13	GRM1	0.899725159533793	0.899725159533793	positive	bicor
HERVH_4p15.1a	HERVH-int	ENSG00000039139.9	DNAH5	0.89972496437811	0.89972496437811	positive	bicor
HERVL_4q32.1b	HERVL-int	ENSG00000150625.16	GPM6A	0.899724712268535	0.899724712268535	positive	bicor
ERV316A3_2q24.1d	ERV3-16A3_I-int	ENSG00000146530.11	VWDE	0.899723870746915	0.899723870746915	positive	bicor
HERVH_6q12a	HERVH-int	ENSG00000170927.14	PKHD1	0.899723186398868	0.899723186398868	positive	bicor
