ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0044782	cilium organization	75/1240	402/15504	0.186567164179104	2.33269138180067	7.98221523093834	2.79607574605854e-12	1.3756692670608e-08	1.3756692670608e-08	CEP162/RPGRIP1L/ODF2L/CEP126/DNAI4/CEP135/ARL6/SPAG16/POC1B/IFT80/DYNC2LI1/CFAP69/RPGR/DYNC2H1/SPATA6/FSIP2/INTU/IFT25/CC2D2B/SPAG17/LCA5/TBC1D32/CPAP/KIF27/CEP290/BBIP1/SCLT1/ARL13B/CEP78/IQUB/SPEF2/MNS1/RTTN/IFT88/PLK4/ACTR3/SNX10/WDR19/RAB3IP/TCTN1/RFX3/CFAP44/DNAAF11/CFAP91/CCDC146/CEP128/TTC39C/GORAB/NEK1/SSX2IP/IQCB1/WDR35/DZIP1/TBC1D31/LCA5L/OFD1/IFT70B/CFAP70/IFT81/NME5/BBS12/LPAR1/SPAG1/CC2D2A/WDR11/IFT70A/DISC1/RSPH4A/BBS5/BBS7/ABCC4/C2CD3/TTC12/WDPCP/MKS1	75
GO:0060271	cilium assembly	69/1240	374/15504	0.184491978609626	2.30674486803519	7.54232411401138	3.60413656983823e-11	8.86617596180206e-08	8.86617596180206e-08	CEP162/RPGRIP1L/ODF2L/CEP126/DNAI4/CEP135/ARL6/SPAG16/POC1B/IFT80/DYNC2LI1/CFAP69/RPGR/DYNC2H1/SPATA6/FSIP2/INTU/IFT25/CC2D2B/SPAG17/TBC1D32/CPAP/KIF27/CEP290/BBIP1/SCLT1/ARL13B/IQUB/SPEF2/MNS1/IFT88/PLK4/ACTR3/SNX10/WDR19/RAB3IP/TCTN1/RFX3/CFAP44/DNAAF11/CFAP91/CCDC146/CEP128/TTC39C/GORAB/NEK1/SSX2IP/IQCB1/WDR35/DZIP1/TBC1D31/OFD1/IFT70B/CFAP70/IFT81/NME5/LPAR1/SPAG1/CC2D2A/WDR11/DISC1/RSPH4A/BBS5/BBS7/ABCC4/C2CD3/TTC12/WDPCP/MKS1	69
GO:0061512	protein localization to cilium	21/1240	72/15504	0.291666666666667	3.64677419354839	6.63697349793878	1.14228131241401e-07	0.000187334135235898	0.000187334135235898	LZTFL1/ARL6/IFT80/DYNC2H1/FSIP2/EFCAB7/CC2D2B/TBC1D32/BBIP1/ARL13B/CEP78/SNX10/WDR19/RAB3IP/TCTN1/DNAAF11/WDR35/DZIP1/SPATA7/CC2D2A/DNAH11	21
GO:0042073	intraciliary transport	17/1240	50/15504	0.34	4.25109677419355	6.78879190237202	1.55937636670196e-07	0.000191803293104342	0.000191803293104342	IFT80/DYNC2LI1/RPGR/DYNC2H1/INTU/IFT25/LCA5/IFT88/WDR19/SSX2IP/WDR35/LCA5L/IFT70B/IFT81/BBS12/IFT70A/WDPCP	17
GO:0045132	meiotic chromosome segregation	23/1240	90/15504	0.255555555555556	3.1952688172043	6.15813686496918	4.10027456336477e-07	0.000403467017035094	0.000403467017035093	SHOC1/SGO1/DCAF13/SYCP2/FBXO5/CCNE2/ASPM/BRIP1/TERF1/MSH4/TEX12/ACTR3/ANKRD31/NUF2/TERB1/MEI4/C1orf146/NDC80/ATM/CENPC/SMC4/MND1/MEIOC	23
GO:0007099	centriole replication	13/1240	43/15504	0.302325581395349	3.78004501125281	5.38226796822501	1.93708190830403e-05	0.010111058883491	0.010111058883491	CEP135/MDM1/POC1B/CEP152/CPAP/SASS6/RTTN/PLK4/CEP76/CEP44/SPICE1/C2CD3/BRCA1	13
GO:0006261	DNA-templated DNA replication	27/1240	153/15504	0.176470588235294	2.20645161290323	4.42165994036435	7.53329027783721e-05	0.0231648676043494	0.0231648676043494	ATAD5/GMNN/RFC3/FBXO5/MMS22L/DBF4/BRCA2/CCNE2/DNA2/FAM111A/GEN1/TERF1/RBBP8/FANCM/MCM9/WRN/METTL4/ORC5/NOC3L/ORC4/POLE2/DACH1/ORC2/POLG2/PRIM2/ATR/BRCA1	27
GO:0035825	homologous recombination	15/1240	64/15504	0.234375	2.9304435483871	4.56269560369131	0.000122023067157229	0.0315975521270299	0.0315975521270299	SHOC1/HFM1/RAD54B/RAD51AP1/BRIP1/RBBP8/MSH4/FANCM/ANKRD31/TERB1/C1orf146/ATM/MND1/RMI1/BRCA1	15
GO:0003341	cilium movement	35/1240	230/15504	0.152173913043478	1.90266479663394	4.06641858390542	0.000166180606439084	0.0362407041039151	0.0362407041039151	DNAI4/LZTFL1/SPAG16/POC1B/CFAP69/DYNC2H1/C2CD6/FSIP2/CATSPERE/SPAG17/SLC9C1/KIF27/CFAP210/CEP78/IQUB/SPEF2/MNS1/RFX3/CFAP44/DNAAF11/CFAP91/CCDC146/CEP128/DZIP1/OFD1/CFAP70/IFT81/SLC9B2/NME5/CFAP68/RSPH4A/DNAH11/EFCAB6/TTC12/CABYR	35
