"gene","module","gene_clean","symbol","is_GenAge"
"ENSG00000115112.8","brown","ENSG00000115112","TFCP2L1",FALSE
"ENSG00000171388.12","blue","ENSG00000171388","APLN",FALSE
"ENSG00000171246.6","grey","ENSG00000171246","NPTX1",FALSE
"ENSG00000261175.6","yellow","ENSG00000261175","LINC02188",FALSE
"ENSG00000116690.13","green","ENSG00000116690","PRG4",FALSE
"ENSG00000108551.5","brown","ENSG00000108551","RASD1",FALSE
"ENSG00000197299.13","brown","ENSG00000197299","BLM",TRUE
"ENSG00000169885.10","yellow","ENSG00000169885","CALML6",FALSE
"ENSG00000133055.10","steelblue","ENSG00000133055","MYBPH",FALSE
"ENSG00000236208.2","blue","ENSG00000236208","C10orf71-AS1",FALSE
"ENSG00000237372.4","brown","ENSG00000237372","ENSG00000237372",FALSE
"ENSG00000111241.3","blue","ENSG00000111241","FGF6",FALSE
"ENSG00000141526.18","grey60","ENSG00000141526","SLC16A3",FALSE
"ENSG00000189221.11","brown","ENSG00000189221","MAOA",FALSE
"ENSG00000004799.8","brown","ENSG00000004799","PDK4",FALSE
"ENSG00000179796.12","grey","ENSG00000179796","LRRC3B",FALSE
"ENSG00000163395.17","grey","ENSG00000163395","IGFN1",FALSE
"ENSG00000239388.9","blue","ENSG00000239388","ASB14",FALSE
"ENSG00000101542.10","brown","ENSG00000101542","CDH20",FALSE
"ENSG00000115386.6","white","ENSG00000115386","REG1A",FALSE
"ENSG00000226306.7","blue","ENSG00000226306","NPY6R",FALSE
"ENSG00000165887.12","grey60","ENSG00000165887","ANKRD2",FALSE
"ENSG00000118298.12","yellow","ENSG00000118298","CA14",FALSE
"ENSG00000041982.16","turquoise","ENSG00000041982","TNC",FALSE
"ENSG00000142789.20","white","ENSG00000142789","CELA3A",FALSE
"ENSG00000172824.16","brown","ENSG00000172824","CES4A",FALSE
"ENSG00000263934.5","blue","ENSG00000263934","SNORD3A",FALSE
"ENSG00000171819.5","darkgreen","ENSG00000171819","ANGPTL7",FALSE
"ENSG00000250978.5","brown","ENSG00000250978","ENSG00000250978",FALSE
"ENSG00000113389.16","grey","ENSG00000113389","NPR3",FALSE
