"module","module_gene_n","promoter_ERV_gene_n","promoter_ERV_percent","other_gene_n","other_promoter_ERV_gene_n","other_promoter_ERV_percent","odds_ratio","confidence_interval_low","confidence_interval_high","p_value","FDR","direction","result"
"pink",606,105,17.3267326732673,19362,4660,24.0677615948766,0.661246454445035,0.529187832565426,0.81982922831398,8.58125409080266e-05,0.000600687786356186,"lower","depleted"
"red",630,129,20.4761904761905,19338,4636,23.9735236322267,0.81656677014626,0.66567448891193,0.995782669330282,0.0459463126613673,0.156869681685412,"lower","not_significant"
"midnightblue",328,64,19.5121951219512,19640,4701,23.9358452138493,0.770400510870036,0.575719473935181,1.01795928543757,0.0672298635794624,0.156869681685412,"lower","not_significant"
"darkgreen",119,23,19.327731092437,19849,4742,23.8903723109477,0.763277558556112,0.461417941313116,1.21473303932548,0.280921273626878,0.491612228847037,"lower","not_significant"
"turquoise",2608,604,23.159509202454,17360,4161,23.9688940092166,0.95606514290211,0.865811714654264,1.0546665406821,0.375196114178322,0.525274559849651,"lower","not_significant"
"greenyellow",445,109,24.4943820224719,19523,4656,23.8487937304718,1.03585223117558,0.824674000002455,1.29279802495014,0.736098613735002,0.782581597991339,"higher","not_significant"
"blue",2499,602,24.0896358543417,17469,4163,23.8307859637071,1.01430856283525,0.91796518891651,1.11967020978337,0.782581597991339,0.782581597991339,"higher","not_significant"
