"gene","module","MM_MEdarkred","MM_MEsalmon","MM_MEgrey60","MM_MEtan","MM_MEviolet","MM_MEbrown","MM_MEred","MM_MEorange","MM_MEblue","MM_MEyellow","MM_MElightgreen","MM_MEpurple","MM_MEdarkgreen","MM_MElightyellow","MM_MElightcyan","MM_MEblack","MM_MEpink","MM_MEgreenyellow","MM_MEmidnightblue","MM_MEdarkorange","MM_MEdarkturquoise","MM_MEsteelblue","MM_MEdarkgrey","MM_MEturquoise","MM_MEsaddlebrown","MM_MEcyan","MM_MEgreen","MM_MEmagenta","MM_MEpaleturquoise","MM_MEwhite","MM_MEroyalblue","MM_MEskyblue","MM_MEgrey","p.MM_MEdarkred","p.MM_MEsalmon","p.MM_MEgrey60","p.MM_MEtan","p.MM_MEviolet","p.MM_MEbrown","p.MM_MEred","p.MM_MEorange","p.MM_MEblue","p.MM_MEyellow","p.MM_MElightgreen","p.MM_MEpurple","p.MM_MEdarkgreen","p.MM_MElightyellow","p.MM_MElightcyan","p.MM_MEblack","p.MM_MEpink","p.MM_MEgreenyellow","p.MM_MEmidnightblue","p.MM_MEdarkorange","p.MM_MEdarkturquoise","p.MM_MEsteelblue","p.MM_MEdarkgrey","p.MM_MEturquoise","p.MM_MEsaddlebrown","p.MM_MEcyan","p.MM_MEgreen","p.MM_MEmagenta","p.MM_MEpaleturquoise","p.MM_MEwhite","p.MM_MEroyalblue","p.MM_MEskyblue","p.MM_MEgrey","GS_AGE","p.GS_AGE"
"ENSG00000259426.6","turquoise",-0.125007365354627,-0.00198547397283769,-0.103665060898142,-0.193322714959076,-0.0888983365038576,-0.264790921091733,-0.214659410918984,0.0527155760546836,0.245973082260069,0.0834819112129474,0.0857741407603859,0.119752054175829,0.206098207193999,0.09268401909148,0.0794808497384665,-0.158105162937353,0.0788468591287876,0.0927773641531862,0.125231809867793,0.222598601949956,0.167643324209052,0.177747427504545,0.298667937580772,0.377444991059311,0.15535436109862,0.152627053487441,0.220103339202597,0.0199394047156081,0.0142404094522926,-0.00561153656886836,0.0858001839594111,0.0324768331895935,0.27791883926753,0.000338504595722941,0.954784840557123,0.00299393328580227,2.49860044721422e-08,0.0109683877926185,1.36634031512759e-14,5.55861424747401e-10,0.131953154623153,9.73993562818817e-13,0.0169329819530172,0.014128767965424,0.000598898527238737,2.68921409419925e-09,0.00799015635273286,0.0230063620299066,5.52987885873523e-06,0.0241246335867019,0.00792688107026472,0.000330191682788021,1.21313839241671e-10,1.42449705443482e-06,3.10887329015183e-07,2.56809410355416e-18,4.2932224094879e-29,8.0603099774736e-06,1.16371932505348e-05,1.96973621709045e-10,0.569040302187943,0.684240481752027,0.872684375901571,0.01409941190322,0.353571276127681,5.65387284414341e-16,0.081662295498479,0.019494911071953
"ENSG00000289082.1","turquoise",-0.00578353400865067,0.18615068548895,-0.191797542930712,-0.265132360366654,-0.0956933951346692,-0.228218927814995,-0.184885726305657,-0.0527986462267669,0.199711049777795,-0.0742841461877782,0.260957859013244,0.169849094341785,0.227074884255692,0.117272544495968,0.0596715941064921,-0.0336835879494725,0.131690394682034,0.278390663777303,0.243485611321493,0.151711424934947,0.263538045451996,0.254730629276304,0.218222781733979,0.377251404312787,0.118907336960947,0.165151955466061,0.258890261912842,0.00822326315690498,0.0817319916608325,-0.00726150439701556,0.0804463090936862,0.0041704574984881,0.411601215777041,0.868816828433375,8.19235957346415e-08,3.2286816231366e-08,1.26048016955456e-14,0.00616262501584793,3.98616875664437e-11,1.00535088786742e-07,0.131344404585697,8.34802027747913e-09,0.0336479770831779,3.351778751171e-14,1.02948426893555e-06,5.01169675362393e-11,0.000777874746454743,0.088090124497569,0.335962197027108,0.000158640084313603,5.02598775298315e-16,1.66833670741539e-12,1.31457388917882e-05,1.83501423711462e-14,1.39623592448554e-13,2.82743887536486e-10,4.60456220680663e-29,0.000655058737557111,2.04541447356345e-06,5.40588218657404e-14,0.814336494792372,0.019390883171813,0.835721496708414,0.021389789878681,0.905199204926008,8.65977561675503e-35,0.117494253290087,0.000760051559847142
"ENSG00000235865.2","turquoise",0.0477198864873604,0.178891673760569,-0.102933725865399,-0.206822218196306,0.161519703131823,-0.0884402071994908,-0.0585607656215369,-0.249172571076034,0.0432366905081011,-0.225631504720377,0.277461764174864,0.134201307580322,0.175433900226143,0.0650580867952068,0.0124848898233749,0.0203131362281242,0.164417735938591,0.164811122936111,0.206259875298338,0.106144980474549,0.206867719623999,0.380074168041139,0.3670455441622,0.377232214956853,0.230987308848905,0.29375664791246,0.407225082909826,-0.104489162390839,0.059671794791029,0.0383801607736343,-0.0368714480613817,-0.0211376434983999,0.363454165968892,0.172721241043739,2.60204612940225e-07,0.00320555163451219,2.35965217702495e-09,3.43333785002098e-06,0.0113885843882783,0.0941789173707667,4.83180200370615e-13,0.21672398067528,6.67835679137794e-11,6.3354634107824e-16,0.00011820982671815,4.43973244992363e-07,0.0629092993240244,0.721432880114074,0.561819304837639,2.27323575716222e-06,2.14830736314027e-06,2.61195199924721e-09,0.00236759206679223,2.34030701958861e-09,1.65122203059729e-29,1.72710193885804e-27,4.63661599621478e-29,2.2790077037339e-11,9.58883903272977e-18,5.06848314388414e-34,0.00277077230926016,0.0880890538189118,0.272892904343416,0.292205920887724,0.546046865818447,5.99711606096698e-27,0.0727384585958323,0.0375305577770971
"ENSG00000286681.1","turquoise",-0.26638101949092,0.0829048927627525,-0.223989207096509,-0.507008170519256,-0.280846101574151,-0.32808040842291,-0.365240284357267,0.106141888740577,0.316761820626425,-0.0382863686350771,0.385261421845879,0.432200024372561,0.134821617097083,0.141099052016661,0.134274675171796,0.0484380585130874,0.196460564436617,0.541349054463253,0.344122638990125,0.128306421547783,0.266571603722474,0.192396968638604,0.121224657394671,0.377036974181913,0.110399057569968,0.145387354738922,0.184065888189578,-0.0591949809439117,0.0573695881298965,-0.0610885068128105,0.0536450389020671,-0.0385833528028867,0.549217038226776,9.37617043894476e-15,0.0177114582251223,9.23653909649998e-11,1.22800417060678e-54,2.71372636548641e-16,5.58070671722361e-22,3.23540186947783e-27,0.00236829210430554,1.60312748883166e-20,0.274067511418387,2.44271441052038e-30,1.47640874743773e-38,0.00010983615319479,5.12971791010816e-05,0.000117188976309503,0.166341206339422,1.46493954949073e-08,1.81801240105886e-63,3.7332668632243e-24,0.000233912465246629,8.96089279257348e-15,2.91996719521352e-08,0.000511558735073321,4.97557229799243e-29,0.0015651053504453,2.99273798843195e-05,1.14713315393688e-07,0.0906626196032516,0.101077587681049,0.0807878005941286,0.125265163923188,0.270360029168626,1.22896151486585e-65,0.151126723671511,1.42046025199859e-05
"ENSG00000247572.9","turquoise",0.0780996354813954,0.424564566859591,-0.443336721552936,-0.442244230601817,0.0162309681525353,-0.100973089727843,-0.143204193421401,-0.273988328878332,0.0580585664957012,-0.399094707288367,0.517445023252827,0.255972226372078,0.158727126022451,0.102448104598156,0.137419665837366,0.264469310120791,0.327728675303876,0.512838517386874,0.470738430049378,0.158059027953514,0.265339531235867,0.350687624978985,0.0955895872989539,0.377006490866847,0.0608216026339741,0.169974714180011,0.312556326351198,-0.0587976907648416,0.110399439775477,0.00711595265586175,-0.00306696732169993,-0.013426143116707,0.540544416933696,0.0255027533466095,3.94967731172896e-37,1.04920375694112e-40,1.71853542572173e-40,0.642979000948774,0.00384169503730484,3.94493199538406e-05,1.49420661598222e-15,0.0970400033367241,1.26069366333828e-32,3.24968750550063e-57,1.0537261937374e-13,5.07377279408953e-06,0.00335349388243403,8.04656500519921e-05,1.47401435289821e-14,6.20786116286939e-22,4.5754821584587e-56,2.4171508820114e-46,5.5652284046729e-06,1.20022042134429e-14,4.41411303593777e-25,0.00621880566035373,5.03066431558176e-29,0.0821245172952358,1.01049118037955e-06,5.38429726267155e-20,0.0928527672130028,0.00156504614123859,0.838968887051167,0.930207733363571,0.701403069785155,3.00814573836786e-63,0.189942882978391,4.3973838626665e-08
"ENSG00000158481.13","turquoise",-0.116583108384724,-0.0764931609380426,-0.112231031960343,-0.0421748044322286,-0.143626599867543,-0.463811078465659,-0.271159121238061,0.161948723283894,0.438439997781488,0.322370760930107,-0.0250975573135177,0.0952326493571387,0.18302126459965,0.117523656326362,0.0821327397555398,-0.445086398830209,-0.144891392541793,-0.0561004192490117,-0.0517453135458327,0.0875352794454659,0.396507761999463,0.168682941701215,0.376471649321097,0.376901369950797,0.173824274123558,0.238866610142782,0.0481867471916276,0.0153642393339087,0.157546232960051,0.101137503667525,0.0900188679952533,0.0432456338040719,0.216925241523256,0.000835803260541813,0.0286974216412139,0.00130380796708099,0.228234002397332,3.7407743143921e-05,7.19903387591278e-45,2.97854934187459e-15,3.23149395089164e-06,9.44754772085234e-40,3.09069331370405e-21,0.473483358210133,0.00641550904761335,1.35596275763187e-07,0.000757716482464156,0.018802075213707,4.74265020634495e-41,3.18767847505794e-05,0.108863930821177,0.139225936183792,0.0122607012957109,3.44069847114339e-32,1.22296131470304e-06,6.10168701465053e-29,5.22532212403304e-29,5.67328097249165e-07,4.46115388959202e-12,0.168553354993682,0.660819563512706,5.97296357119878e-06,0.00378425274441285,0.00999804790833096,0.216628846005001,3.62144141781763e-10,0.0521147640473385,0.136421155828217
"ENSG00000234880.1","turquoise",-0.00248567204663877,0.15595998301658,-0.116039736153154,-0.440885908372841,0.113147870007977,0.0315802440825754,-0.198414899132057,-0.129205037674744,-0.0715791345962486,-0.404872853373864,0.208956725809615,0.219252271174474,0.04806354014831,0.125427809598399,0.15096077410433,0.403805293302348,0.499757476634308,0.531083270230439,0.287520159517787,0.241167270842595,0.158500146999681,0.51700612309928,0.266192419500669,0.376877422969747,0.197504244122384,0.304206620388873,0.506318324608853,-0.0169007829956696,0.152641689910555,-0.0236928325017598,0.0266663101218332,0.00516748194802558,0.422114630502825,0.943411002790697,7.42273734045672e-06,0.000884246199596527,3.16603365955282e-40,0.00118871292209006,0.367024534304347,1.04584582321872e-08,0.000211186611468021,0.0406867110612131,1.29617330441811e-33,1.60049375102829e-09,2.32075668035084e-10,0.169645893180572,0.000323088662647121,1.45196181504552e-05,1.97998874509727e-33,6.72809473902071e-53,1.01398129931753e-60,4.92549145331863e-17,2.74026530829238e-12,5.23589181492372e-06,4.18830248086712e-57,9.80571678491202e-15,5.2706987723445e-29,1.22418716265223e-08,5.63669811280148e-19,1.80479700347241e-54,0.629330413314937,1.16144743179297e-05,0.498602447603849,0.446272338502215,0.882683254979521,1.11390519044665e-36,0.249422851023425,4.57206153668398e-13
"ENSG00000228502.1","turquoise",-0.0157456323463647,0.208364272443853,-0.189294398362411,-0.444086068376836,0.0786247676900858,-0.0626244790641248,-0.23311157744159,-0.116619639543018,0.0179970594467815,-0.310891271954328,0.264571255203983,0.134892880475603,0.20805589629864,0.269324860067947,0.198838847313078,0.283728296418157,0.405078126402078,0.412146373190844,0.276098864764999,0.258837343309404,0.270963042057824,0.401140800065043,0.204350112046984,0.376795101147964,0.215849097056758,0.290639131601212,0.428752186233357,0.370061206938208,0.196219783541861,0.135809720862454,0.182487918718434,0.135637349520108,0.406112250239719,0.652944568420766,1.78332074145788e-09,4.89546683034802e-08,7.47169756179575e-41,0.0245273471452571,0.0734342559730149,1.47673734564948e-11,0.000832636240448049,0.607263880855105,8.65226126722652e-20,1.43901146696294e-14,0.000108910759889972,1.88636438744031e-09,4.63838743331597e-15,9.71680729685182e-09,1.30606177385884e-16,1.19455590509637e-33,6.93603798831353e-35,8.88435900099923e-16,5.47212042225718e-14,3.12347623253028e-15,5.66230733207396e-33,3.68011021291659e-09,5.42968575712991e-29,4.44137655951023e-10,2.18389105769724e-17,6.58058766246832e-38,5.99846805062331e-28,1.52667990528646e-08,9.76414912551538e-05,1.47628917986549e-07,9.96725648780104e-05,7.91054417106477e-34,0.168369080252106,1.28072489538e-06
"ENSG00000173391.9","turquoise",-0.0121787322387901,0.149747758768536,-0.279115773811261,-0.286177445605621,0.0808678910218377,-0.229233262955553,-0.223539036068075,-0.0187715248979211,0.196728508249373,-0.0434557553122852,0.0878910801714543,0.0360588271657114,0.179978171624799,0.191131544598192,0.318702958416386,0.045222523844767,0.302434341348654,0.187186003014337,0.274158780066096,0.186631911735172,0.348405416367113,0.322866695595409,0.204397381007371,0.376662731753999,0.356839448653898,0.332129045904778,0.1427343147337,0.0581990027861018,0.167951654366626,-0.0167757996850904,0.109829453165015,0.0346101924714076,0.302117296723487,0.727990008042081,1.70326291796821e-05,4.1923690479197e-16,6.96878405207307e-17,0.0207154504821918,3.25052431948138e-11,1.00907644939546e-10,0.591885995601803,1.39907954414347e-08,0.214402296075006,0.0119109929215839,0.302979212918861,2.19516983833731e-07,3.60875399864615e-08,9.10460937307608e-21,0.196329781945583,9.18983685013551e-19,6.92125527131592e-08,1.43300826152357e-15,7.57573496025733e-08,9.32568264567619e-25,2.66756693076024e-21,3.64915911227947e-09,5.69534366069512e-29,5.69968204571287e-26,1.62153349711552e-22,4.1844221242285e-05,0.0962330216628963,1.36161886611361e-06,0.631867767041283,0.0016556690262526,0.322830400536089,1.00260396005695e-18,0.102443693987568,0.00335486553773444
"ENSG00000005884.18","turquoise",0.166159611704462,0.286399563238421,-0.497730271780563,-0.297224366964829,0.344897823255653,-0.0586257295804014,-0.139120613886264,-0.22026452916756,0.00573825503058968,-0.274202422718097,0.0507034042449098,-0.194240652688293,0.125826289400277,0.0651728888887348,0.554591569418651,0.27842760570954,0.512182044873696,0.219812472551515,0.306374567891215,0.083803827044729,0.268738283186044,0.237011414522484,0.0944888745141557,0.376638123170412,0.140868603764254,0.235912255146408,0.230222497628805,-0.0366798476434941,0.0759808963553836,-0.00223581693096151,0.0838705042588835,0.0184655766761871,0.197739369642387,1.76811853137853e-06,6.58085583064082e-17,2.02572248051395e-52,3.79256104564189e-18,2.90900273462882e-24,0.0938137927892668,6.5437809782869e-05,1.90935233983521e-10,0.869834675083383,1.41773941747048e-15,0.14737465902527,2.13923809737812e-08,0.000309085713314972,0.062445264072065,3.74710536695009e-67,4.97982877545068e-16,6.64806812832205e-56,2.08344476165263e-10,3.08573495819784e-19,0.0165118339284298,5.34038163872979e-15,6.58448471367087e-12,0.0068434456637801,5.74613193393123e-29,5.27815253470648e-05,8.27986281043755e-12,2.66157754525685e-11,0.29472261790709,0.0297859313443475,0.94909108107028,0.0164257602277256,0.597939616468986,1.17550211956963e-08,0.122022340959716,0.000469349533038353
"ENSG00000266256.3","turquoise",-0.12437293360882,0.0417931740355535,-0.194666801316083,-0.244013613544379,-0.0939217182476696,-0.248825492719835,-0.181385552609675,-0.0725830958360922,0.215691258056037,-0.0291466951057,0.222638477033177,0.248288322176557,0.233025894078712,0.16846373560515,0.00537257504791955,-0.116988406879191,0.0459639130580739,0.212757122436644,0.105564644328277,0.254290040613052,0.237546778137196,0.272861073646251,0.335026212863265,0.376599241203335,0.167715367232663,0.198803375365021,0.272228176491225,-0.0272046088724185,0.10469546623298,0.0706100782473287,0.0683369597723706,0.0649829006395356,0.38666581836455,0.000363071706925266,0.232474900972564,1.98994254000353e-08,1.48897702832428e-12,0.00718678276756042,5.21607235750355e-13,1.75851096421665e-07,0.0379410635497833,4.57592571869717e-10,0.405116635498409,1.20372181135703e-10,5.87057038183378e-13,1.50293433628821e-11,1.26303404224523e-06,0.878062708650104,0.0008012828570772,0.189087296541833,7.93619173921865e-10,0.00250235740868162,1.5423236064479e-13,5.88677246984988e-12,1.96879534284843e-15,6.62007346672525e-23,5.82729390536311e-29,1.40956038473598e-06,9.77685226402552e-09,2.29726926778149e-15,0.437144120936944,0.00271733331584136,0.043494513597015,0.0507271919918496,0.0632147444293624,1.44743860920694e-30,0.0550410880340364,0.115719080793547
"ENSG00000268355.1","turquoise",-0.0524681295046752,0.0896288897964059,-0.152390672472713,-0.305156504330393,0.0605618226375129,-0.112686459307906,-0.222950537129565,-0.0665190548666451,0.065958837036754,-0.196994529250612,0.137078123669023,0.129838428138493,0.0815842923191321,0.0351246333891379,0.146605836175607,0.137279486325844,0.313734365310282,0.299111319578203,0.218140234804425,0.138071590313723,0.271553899107576,0.35355282205055,0.26098812150658,0.376489442008595,0.210804956859543,0.362148198233271,0.371501630833921,-0.0884241262199313,0.132678333573211,0.0465354487460915,-0.00587952425302277,0.0190626754032194,0.322081538483466,0.133779412818146,0.0103267330648813,1.20100240519691e-05,4.33157718244973e-19,0.0834426920248035,0.00124541064566713,1.13245055698234e-10,0.0572118527276393,0.0593437791214347,1.33653659671259e-08,8.38519732206954e-05,0.000196430286144655,0.0196119147645338,0.315685999243456,2.56070586922424e-05,8.1839586577985e-05,3.8422804148685e-20,2.27725890627059e-18,2.87244370798382e-10,7.43570817728164e-05,2.70652014588053e-15,1.71093821878346e-25,3.32830630025387e-14,6.06266861950778e-29,1.13976384283334e-09,9.3937419643553e-27,3.60531616846542e-28,0.011403589563103,0.000141388038448755,0.183639722046816,0.866659739796125,0.586151391407276,3.36736599546556e-21,0.165061878698816,2.07213847440737e-06
"ENSG00000286288.1","turquoise",-0.176747722966366,0.0147898567648895,-0.282791642755277,-0.345148857904026,-0.138137721156666,-0.289810966443849,-0.312375867040349,0.102527917850555,0.285459403238093,0.0201841019759317,0.126196920949972,0.232601371726697,0.100139808615436,0.149998278663067,0.220223614737151,0.0144668744451096,0.223013879877036,0.332871796118753,0.216423645568046,0.201034249461626,0.248221830451646,0.245710462147244,0.204006976420581,0.376236056056105,0.119694873414061,0.214425056858289,0.136195686232047,-0.0401502334750406,0.0822181892711272,-0.020246765096137,0.0229430365203523,0.0333299003832205,0.348434679926344,3.62845970793221e-07,0.672750229135117,1.65800213794527e-16,2.68282611976535e-24,7.37625047173752e-05,2.71299330014066e-17,5.66916153395539e-20,0.00332876067932021,8.38335170489214e-17,0.564307418334506,0.000296572406864526,1.63957835727512e-11,0.00414516571063177,1.64819226620466e-05,1.92450622655728e-10,0.679495529082296,1.11849490482342e-10,1.28996267179128e-22,3.98339023620088e-10,6.62185812544822e-09,5.95698321294495e-13,1.03122804441522e-12,3.91256427355169e-09,6.64238991546368e-29,0.000602554254704812,5.80893043286086e-10,9.32341769276301e-05,0.251368695665723,0.0186785652026915,0.563098450432605,0.512294122455843,0.341063884559757,9.23702893869786e-25,0.155001347920634,8.45570890958482e-06
"ENSG00000144134.19","turquoise",0.117164206950124,0.476064518692787,-0.243649189377052,-0.473150004248509,0.0364903780958057,-0.0496947018328263,-0.0207722079708181,-0.369410524966998,-0.0106216171905177,-0.423085689007321,0.622074785760782,0.298928825942267,0.204299992562758,0.133024377785737,-0.0475389372770833,0.213022249940131,0.233035975834295,0.481597998852146,0.35379979157235,0.228493201552938,0.253164405841794,0.392579978576916,0.2137490109679,0.376123423419699,0.208824341356135,0.281661457544658,0.459695498010933,-0.0712690924962238,0.130143841072041,0.0368319141131955,0.0183667166471376,-0.0167170822817451,0.611170972594846,0.000786724154989126,1.6858872768543e-47,1.61062001192793e-12,7.28104993524529e-47,0.297225543315219,0.155605585474859,0.553010382031961,7.54310578252352e-28,0.761638622898965,7.39291885774046e-37,8.74566423741518e-89,2.3928088952124e-18,3.71320638665866e-09,0.000135774138182732,0.174357182334659,7.55344771739565e-10,1.49982849639929e-11,1.00816993789475e-48,1.57600164079649e-25,3.77258679981858e-11,1.98706781430879e-13,1.55360605456147e-31,6.5941231009867e-10,6.91739571242566e-29,1.6396938303788e-09,2.20848529154186e-16,5.21291923925278e-44,0.0415678739130884,0.000189665807230367,0.292724021093453,0.599901685721624,0.633061319142797,6.22642690973425e-85,0.184339931075191,1.0977168342167e-07
"ENSG00000165186.12","turquoise",0.0284715058648901,0.0330439729521807,0.068349177993002,-0.138758151303325,0.0237157324863599,-0.0898806830113493,-0.189383636725267,-0.00746297660470425,0.040522367922825,-0.131810819531029,0.00892885284575061,0.012528534843954,0.260983037674566,0.112035264590507,0.00980022913683233,0.0429933940556193,0.225401674016583,0.155898190335275,0.172733789722411,0.100511443759165,0.061253049455905,0.273735054065505,0.321605330610416,0.375985475230821,0.13566561397641,0.162241642484691,0.451207726830041,-0.0667106705231329,0.0119276318548363,0.0179184857157922,0.0386639632826763,0.0117778463168932,0.222765767584459,0.416089292263647,0.345224180357048,0.0506857796524228,6.83986831227752e-05,0.498187359435123,0.0101134347866531,4.82382004388904e-08,0.831231090119834,0.246998203470693,0.000156436003843988,0.798733907760996,0.720499762222998,3.33223815727715e-14,0.00132967705678467,0.779576089828017,0.219323578374678,6.98948532369332e-11,7.48551597030635e-06,6.68984313033535e-07,0.00400723499643172,0.0799725577994084,1.58991552064466e-15,3.87711924612626e-21,7.26961409397922e-29,9.93368147999318e-05,3.10026276921949e-06,2.84224356296679e-42,0.0564974074648617,0.733382848071673,0.608833950964479,0.269359656834167,0.736606051198029,1.1741365873978e-10,0.0544677674914204,0.119567941598459
"ENSG00000255882.1","turquoise",-0.149880171195647,0.0207410696703839,-0.318398525505334,-0.23544687577789,-0.158610339450068,-0.394700857927835,-0.305846288182364,0.100187462024481,0.384889776173933,0.153733718628597,0.0932980329346763,0.163349650045606,0.149668209931598,0.0643306809786307,0.205473689616038,-0.181415288089966,0.094893743924431,0.143064453793126,0.267293670043347,0.0734474795536671,0.231210877337934,0.172488239469282,0.204871157293818,0.375911302949372,0.101782005729851,0.0891162958292222,0.0372511040277136,-0.00705174986884231,0.0297850056668279,-0.0294419138168718,0.0560617306438768,0.00820623818466957,0.305067589523822,1.67394083950803e-05,0.55360573779291,9.95211436693899e-21,9.1201364169767e-12,5.15657846062005e-06,6.90116521639646e-32,3.57538645653024e-19,0.00412724222672887,2.80434476521977e-30,1.00336173383369e-05,0.00758208729494837,2.64853065529068e-06,1.72111284752164e-05,0.0659160637994241,3.00908493400735e-09,1.75025698809463e-07,0.00660742776907762,4.01476344869145e-05,7.54516019621306e-15,0.0357047241888874,2.17771106519893e-11,6.94180919615006e-07,3.35258411808643e-09,7.46627855906551e-29,0.00356651561604873,0.0107733468166166,0.287261766634774,0.840402182785691,0.394903758698151,0.40037372868066,0.109108521737705,0.814713901917101,4.43987189257418e-19,0.0944143087381927,0.00688772909356812
"ENSG00000139880.21","turquoise",0.26156517990921,0.501941472285793,-0.328858257659066,-0.303422278749876,0.166471669921557,-0.0443787837029102,0.0809594246678799,-0.405146448247101,-0.0471297721085717,-0.352955927327992,0.3615003157275,-0.0239991759247252,0.182293509011625,0.0482968251608088,0.0426922364593987,0.135807438578133,0.290407248186238,0.232600771210313,0.283900104903873,0.14780446488147,0.285977648807721,0.385225027108679,0.152427381858616,0.375725285001859,0.252728571194901,0.33118120169831,0.437465986426111,-0.060681147374076,0.0941369056502713,-0.027234233425008,0.0489380876921747,-0.00800003083755573,0.424072823715145,2.9103817393882e-14,2.0350240534812e-53,4.40744911122282e-22,7.00088824088155e-19,1.68982137684394e-06,0.204816514244722,0.0205715072226041,1.16251837420491e-33,0.178098936103595,2.0860875572056e-25,1.17271134715649e-26,0.493064853026946,1.52266200773045e-07,0.167581704683602,0.22257226783501,9.76681270464524e-05,2.32082806949547e-17,1.63977999640431e-11,1.2500115541914e-16,2.19395898214897e-05,7.33690664016939e-17,2.47598364793059e-30,1.19513872746571e-05,7.98297648638284e-29,2.19115714719259e-13,2.16926399441266e-22,1.45652899573619e-39,0.0828351061929616,0.00705473932367282,0.436644896313319,0.162004660745454,0.819288460417751,4.86675407145227e-37,0.132536561691812,0.000143750434773059
