"gene","module"
"ENSG00000170525.21","brown"
"ENSG00000054938.17","blue"
"ENSG00000129204.17","blue"
"ENSG00000168785.8","brown"
"ENSG00000095203.15","brown"
"ENSG00000185559.16","turquoise"
"ENSG00000187889.13","black"
"ENSG00000179564.4","blue"
"ENSG00000042832.12","grey"
"ENSG00000142748.13","brown"
"ENSG00000155367.16","blue"
"ENSG00000076555.16","brown"
"ENSG00000235162.9","blue"
"ENSG00000128655.19","blue"
"ENSG00000120738.8","lightcyan"
"ENSG00000111371.16","brown"
"ENSG00000164509.16","blue"
"ENSG00000264151.6","blue"
"ENSG00000188536.13","midnightblue"
"ENSG00000134548.11","blue"
"ENSG00000184544.12","yellow"
"ENSG00000092068.21","brown"
"ENSG00000092969.12","blue"
"ENSG00000134817.12","blue"
"ENSG00000286322.2","blue"
"ENSG00000139780.8","blue"
"ENSG00000077274.9","blue"
"ENSG00000279164.1","blue"
"ENSG00000196811.13","grey"
"ENSG00000286677.1","brown"
"ENSG00000205279.9","blue"
"ENSG00000198574.6","grey60"
"ENSG00000177575.13","cyan"
"ENSG00000259675.3","brown"
"ENSG00000283706.2","blue"
"ENSG00000096088.16","white"
"ENSG00000170417.16","blue"
"ENSG00000147697.9","yellow"
"ENSG00000186628.12","blue"
"ENSG00000180730.5","yellow"
"ENSG00000159263.16","grey"
"ENSG00000197859.11","blue"
"ENSG00000224114.1","grey"
"ENSG00000092377.15","grey"
"ENSG00000176728.10","grey"
"ENSG00000145626.12","blue"
"ENSG00000137766.18","blue"
"ENSG00000140465.15","grey"
"ENSG00000204291.11","turquoise"
"ENSG00000153002.12","white"
"ENSG00000119280.17","brown"
"ENSG00000182333.15","white"
"ENSG00000169347.17","white"
"ENSG00000267423.1","blue"
"ENSG00000167772.12","black"
"ENSG00000184313.20","blue"
"ENSG00000064300.9","darkgreen"
"ENSG00000119938.9","blue"
"ENSG00000205312.8","darkgreen"
"ENSG00000164236.12","grey"
"ENSG00000106772.19","steelblue"
"ENSG00000067057.18","black"
"ENSG00000180229.12","grey"
"ENSG00000168333.14","grey"
"ENSG00000166407.14","yellow"
"ENSG00000138435.16","red"
"ENSG00000029993.15","brown"
"ENSG00000138379.5","yellow"
"ENSG00000268555.2","red"
"ENSG00000124743.6","blue"
"ENSG00000077009.14","yellow"
"ENSG00000184601.11","blue"
"ENSG00000100344.11","greenyellow"
"ENSG00000144837.9","brown"
"ENSG00000131386.20","brown"
"ENSG00000163833.8","blue"
"ENSG00000227496.3","yellow"
"ENSG00000147256.12","greenyellow"
"ENSG00000216921.9","yellow"
"ENSG00000249853.9","blue"
"ENSG00000151365.2","yellow"
"ENSG00000187550.9","grey"
"ENSG00000139364.11","brown"
"ENSG00000166123.14","blue"
"ENSG00000177508.12","grey"
"ENSG00000174502.19","blue"
"ENSG00000137872.17","blue"
"ENSG00000286658.1","grey"
"ENSG00000168878.19","skyblue"
"ENSG00000091704.10","white"
"ENSG00000285569.3","brown"
"ENSG00000251139.2","brown"
"ENSG00000171612.7","brown"
"ENSG00000154096.14","blue"
"ENSG00000100033.17","brown"
"ENSG00000226025.10","lightcyan"
"ENSG00000188582.10","blue"
"ENSG00000175535.6","white"
"ENSG00000107165.13","blue"
"ENSG00000166091.21","grey60"
